p_x,p_y,p_z,u_x,u_y,u_z,dot
-8.982072830,-4.046222210,-1.838564873,0.669956338,0.289107437,0.226571117,0.975711722
-8.850184441,-4.399792671,-1.111534715,0.684360187,0.333720729,0.144922708,0.989164677
-9.016219139,-4.083337307,-1.109734893,0.689856508,0.303773815,0.149671269,0.989890714
-8.868245125,-4.419754982,-0.370572269,0.686536912,0.339693924,0.057033953,0.997548198
-9.035206795,-4.103300095,-0.370403886,0.695527580,0.308983052,0.055518063,0.998649395
-8.082397461,-5.620020866,-1.846708536,0.618910693,0.422187158,0.230850150,0.977093857
-7.876759052,-5.899567127,-1.837216496,0.606477048,0.448739507,0.226139853,0.978089452
-7.912720680,-5.931357384,-1.104162574,0.610948607,0.452464917,0.146613236,0.990500616
-8.119816780,-5.651916504,-1.107254505,0.619403256,0.424773104,0.145924388,0.989273882
-7.931513786,-5.946914673,-0.368419975,0.624697542,0.468088640,0.054182161,0.998692967
-8.140155792,-5.667104721,-0.369124472,0.639217653,0.444143258,0.055922710,0.997955768
-8.078261375,-5.104832649,-4.068338394,0.549248849,0.333679597,0.452585428,0.910920782
-7.869447708,-5.395612240,-4.073785782,0.533793349,0.351773857,0.456979098,0.905869491
-7.960906029,-5.485528946,-3.338426590,0.575130376,0.383654580,0.382769543,0.939965111
-8.174898148,-5.188368797,-3.350962639,0.585863939,0.362391899,0.384891570,0.937216076
-8.030206680,-5.558915615,-2.596607208,0.598156509,0.400432184,0.303842835,0.961393684
-8.246832848,-5.260068893,-2.616532326,0.621311763,0.384808185,0.309978426,0.959926546
-8.299633026,-5.325397491,-1.862559199,0.631490896,0.392374902,0.226759539,0.976520178
-8.333598137,-5.364538193,-1.114199877,0.644965655,0.409830703,0.142790775,0.990249907
-8.351970673,-5.383373260,-0.371089250,0.652057032,0.418100632,0.061044332,0.997748901
-8.023294449,-4.613371372,-5.361881256,0.483918217,0.271092240,0.580910393,0.839734406
-7.897403240,-4.919072628,-5.242337227,0.485107845,0.296517657,0.576041045,0.850195843
-7.977343082,-5.008580685,-4.736016273,0.516127735,0.316850233,0.523202943,0.881247713
-8.144290924,-4.686831474,-4.758061886,0.516599171,0.290647735,0.518340378,0.876054027
-8.250952721,-4.778130531,-4.076812267,0.558079821,0.311602183,0.454688755,0.906225067
-8.342791557,-4.869383335,-3.353891373,0.596344766,0.336832544,0.385882326,0.932628289
-7.981005192,-4.192982674,-6.245379448,0.438797424,0.221766373,0.662127765,0.810590777
-7.860989571,-4.656527519,-5.884657860,0.440222686,0.251192723,0.633550483,0.815144192
-8.221148491,-4.161048412,-5.504073620,0.496912183,0.247115865,0.591136019,0.841992143
